"","TCGA-44-2668-11A-01R-1758-07","TCGA-50-5936-11A-01R-1628-07","TCGA-44-2661-11A-01R-1758-07","TCGA-44-3398-11B-01R-1758-07","TCGA-44-6776-11A-01R-1858-07","TCGA-91-6831-11A-02R-1858-07","TCGA-50-5932-11A-01R-1755-07","TCGA-55-6984-11A-01R-1949-07","TCGA-44-2657-11A-01R-1758-07","TCGA-38-4627-11A-01R-1758-07","TCGA-69-7980-01A-11R-2187-07","TCGA-55-1592-01A-01R-0946-07","TCGA-55-7727-01A-11R-2170-07","TCGA-55-6972-01A-11R-1949-07","TCGA-49-AARE-01A-11R-A41B-07","TCGA-86-7713-01A-11R-2066-07","TCGA-55-7913-01B-11R-2241-07","TCGA-44-A47G-01A-21R-A24H-07","TCGA-44-2662-01B-02R-A277-07","TCGA-44-5645-01A-01R-1628-07"
"ZSCAN23",5,27,21,91,21,18,14,71,8,4,140,152,7,1,30,19,97,28,202,52
"KCTD9P3",0,1,0,2,0,0,1,1,0,0,0,2,0,0,0,1,0,0,7,0
"RINL",514,308,488,618,277,118,210,534,855,490,813,1087,290,866,298,837,636,582,83,556
"C17orf99",3,3,2,0,4,0,1,5,13,9,27,5,1,1,10,4,1,10,3,4
"HNRNPA1P61",0,0,3,1,1,2,0,2,2,1,0,2,0,2,3,0,4,0,6,0
"OR7D2",2,2,5,3,3,0,24,3,2,0,1,1,0,0,87,0,3,2,2,0
"TPRG1",228,508,594,760,597,425,337,978,307,352,374,244,74,47,65,287,265,215,478,387
"AC026412.1",227,161,161,318,134,106,55,459,329,341,381,545,246,964,237,1006,1258,411,147,518
"SNHG28",0,0,0,1,1,1,0,1,0,0,4,0,0,2,3,0,2,2,8,0
"MORN2",312,213,313,1035,448,152,202,1354,360,477,751,705,479,368,951,899,587,588,178,588
"RTP5",13,2,6,9,4,3,4,2,56,2,12,5,1,1,17,1,2,36,2,0
"MEIS3P2",49,14,29,57,11,7,16,75,28,34,56,41,5,28,31,101,128,13,3,32
"S100A3",289,44,122,1633,77,271,353,713,156,1083,18,84,11,73,42,22,65,79,4,3
"UBQLN2",3226,1999,2923,3673,1744,1184,1684,3500,2261,2096,9197,3614,1619,1317,2389,4892,6140,2597,1246,3144
"RILPL1",444,400,770,857,332,253,441,994,364,387,793,652,66,167,830,468,815,268,175,301
"CTSL3P",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"C19orf67",1,2,0,12,1,0,1,4,0,0,3,5,0,12,7,1,11,7,11,0
"ZNF490",182,90,175,196,97,41,124,253,187,86,367,311,162,60,179,371,208,143,106,188
"CLCN1",16,2,8,8,0,0,2,5,9,10,5,4,0,3,46,14,1,8,25,0
"NRN1L",0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0
"NWD1",37,70,82,869,419,11,79,1120,231,37,285,108,19,3,330,50,24,155,23,2266
"ARL4C",4878,2226,2784,3641,1312,1432,1918,3072,2826,1340,7945,6003,1729,1257,3604,4565,3180,5708,2172,2928
"RNF133",2,15,3,11,24,4,16,25,6,11,22,17,5,6,7,49,12,5,48,14
"TMEM221",8,5,31,61,12,7,15,21,18,14,77,43,7,1,87,1,31,6,6,17
"TREML4",12,8,11,6,8,4,3,17,18,0,18,4,12,3,16,3,3,7,111,2
"RAB42",818,133,305,265,68,38,110,340,331,321,436,3303,219,89,378,253,169,287,52,144
"WNT7B",1236,799,1052,1205,586,348,529,1913,953,405,3378,3993,270,298,1934,3743,204,681,178,1136
"C11orf95",827,941,1305,2005,676,443,618,1326,893,746,1618,973,218,141,773,1421,663,617,298,847
"SCGB1C1",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"AL022313.1",1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"PRSS45P",1,0,0,0,0,0,0,0,0,0,3,8,0,0,18,0,9,0,1,6
"PLA2G4E",937,221,33,57,101,111,10,51,267,103,135,475,162,4,57,180,24,68,25,103
"GPR89B",63,48,83,94,71,34,38,114,65,54,269,190,123,84,176,301,456,112,283,115
"MESP2",8,1,10,11,5,0,2,5,8,11,45,243,11,167,104,21,35,24,5,40
"FAM25A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ALOX15P2",0,0,1,0,0,0,0,0,0,2,88,43,104,51,1,5,2,2,8,193
"EYS",20,18,10,23,14,11,6,36,10,5,128,73,146,41,78,187,203,12,150,18
"C6orf132",2563,970,1469,1911,783,440,796,1960,827,360,3542,3933,702,759,2079,2223,2966,1254,275,1097
"DAZ1",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"OR2AG2",1,1,0,3,0,0,2,3,2,0,6,0,6,1,0,1,2,6,32,3
