"","TCGA-44-2668-11A-01R-1758-07","TCGA-50-5936-11A-01R-1628-07","TCGA-44-2661-11A-01R-1758-07","TCGA-44-3398-11B-01R-1758-07","TCGA-44-6776-11A-01R-1858-07","TCGA-91-6831-11A-02R-1858-07","TCGA-50-5932-11A-01R-1755-07","TCGA-55-6984-11A-01R-1949-07","TCGA-44-2657-11A-01R-1758-07","TCGA-38-4627-11A-01R-1758-07","TCGA-69-7980-01A-11R-2187-07","TCGA-55-1592-01A-01R-0946-07","TCGA-55-7727-01A-11R-2170-07","TCGA-55-6972-01A-11R-1949-07","TCGA-49-AARE-01A-11R-A41B-07","TCGA-86-7713-01A-11R-2066-07","TCGA-55-7913-01B-11R-2241-07","TCGA-44-A47G-01A-21R-A24H-07","TCGA-44-2662-01B-02R-A277-07","TCGA-44-5645-01A-01R-1628-07"
"SENP2",2018,1621,1881,2715,1639,1093,1288,3050,1474,1051,5440,3372,1625,805,1899,3193,5058,1787,1025,1494
"HEYL",1139,1661,2902,2225,1670,1071,1504,634,881,3828,1426,1974,294,230,774,1067,352,673,203,833
"IFT122",1485,955,1605,2128,1003,428,974,2149,956,584,3241,2128,568,543,1998,1861,1853,883,708,901
"RHO",0,0,2,1,2,0,0,3,0,0,10,0,0,1,3,0,0,0,2,1
"IGF2BP2-AS1",0,3,1,0,1,1,1,5,1,0,20,2,2,0,4,1,3,0,296,0
"RFC4",266,152,266,373,186,85,149,341,369,291,1649,1516,586,281,1449,957,2656,685,362,358
"RPL39L",140,82,132,233,81,20,43,166,185,297,1306,1196,238,335,1348,433,2420,75,86,143
"BAP1",4584,2734,4717,5621,2283,1112,2172,4566,3691,2925,7119,5777,1233,2125,4300,7968,5185,3068,411,2906
"TKT",29513,13601,19416,21509,9172,4400,7370,19073,16835,17113,41494,26535,4004,35005,37071,86613,26699,23875,2058,17524
"PRKCD",13515,2871,5618,6877,3799,1453,2780,7388,5408,2706,6516,6234,2010,3222,6477,10627,5100,4489,409,3394
"RFT1",772,506,775,1027,587,210,422,847,694,639,1574,1167,567,868,825,3838,1470,809,217,697
"SFMBT1",893,470,592,757,498,259,403,883,535,262,1094,1153,476,294,683,3141,1642,734,333,629
"GNL3",3533,971,1795,2376,1069,1006,847,1825,1667,1753,5173,5384,3095,4463,5264,19937,7702,3856,842,1648
"PBRM1",3316,2853,2696,3660,2608,1688,2114,3478,2123,1475,3967,6125,1533,1518,1579,9706,4301,2222,3029,2852
"UVSSA",1074,816,754,1136,904,409,633,1979,705,467,2203,2154,781,591,1170,4865,2321,2242,1726,1124
"TASOR",3030,2896,2966,4254,2610,1727,2355,4110,2665,2237,5188,5672,2780,2097,1982,14116,4895,2888,3823,3239
"ARHGEF3",3219,2259,2544,5123,1823,2234,2046,2912,2571,3088,2305,2437,1053,790,1382,2602,2312,2218,977,3400
"SLBP",2069,1048,1710,2154,1112,633,1036,2161,1716,1817,4922,4856,1868,1454,1495,4076,3511,2134,1047,1826
"LRPAP1",16495,5726,9745,13910,4488,2738,4643,12104,8479,9225,10350,12993,995,2198,2760,17896,14391,6668,805,8429
"ZDHHC19",81,17,28,26,20,15,18,34,28,36,5,40,3,1,27,4,19,2,0,7
"SLC51A",200,81,121,240,91,45,62,194,116,84,174,757,61,16,208,106,180,251,143,118
"UBXN7",1942,1830,2114,3176,1619,988,1537,2653,1292,703,4640,4114,1765,253,1703,6158,4176,1769,2819,1688
"RNF168",1320,743,994,1483,616,427,669,1714,790,516,1551,1832,729,109,887,1465,1347,794,1118,833
"PIGX",964,667,863,958,641,414,542,1141,556,654,2385,2057,607,239,1216,1422,4517,885,631,1006
"MELTF",282,66,213,955,56,37,93,279,194,142,1328,788,294,37,1103,288,1507,1575,188,118
"OTOP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"S100P",442,110,77,179,306,87,57,170,502,391,2074,6583,9740,16241,16095,14084,16155,226,41,4
"ABLIM2",224,206,307,503,156,60,215,269,171,264,391,242,37,190,40,850,811,167,23,293
"EXO5",156,64,137,170,55,38,69,181,113,115,410,491,132,154,252,843,195,182,35,194
"CLDN19",2,1,8,1,2,1,4,19,5,0,1,0,1,0,1,0,1,1,0,0
"C1orf50",89,140,158,138,80,50,75,123,99,51,188,211,72,59,44,788,110,84,101,102
"ERMAP",554,496,798,1074,402,202,420,924,548,540,726,974,191,749,373,492,449,336,291,550
"ZNF691",394,161,447,555,201,88,202,438,430,352,832,1384,356,665,564,1113,746,335,109,484
"AIMP1",1930,1474,1724,2629,1498,997,1206,2724,1550,1850,4066,3595,2161,1844,2315,3404,3827,2000,1802,1757
"SGMS2",19471,3528,3119,6109,4468,7622,3131,7490,2195,4456,9398,4078,3317,793,795,3538,1622,6986,3379,2953
"METAP1",1932,1304,1842,2362,1121,649,1030,2432,1678,1610,3888,4885,1769,1917,1949,3964,3588,1842,1244,1320
"DNAJB14",2407,1952,1834,2990,1866,1443,1778,3399,1651,2927,2623,3207,1510,1001,964,2649,2318,1876,4196,1713
"H2AZ1",4668,1945,3033,4015,1900,896,1639,4208,3799,5366,7514,7020,3751,2872,7744,6723,9877,4813,1362,1994
"EMCN",1558,1372,2753,5981,2160,2721,2948,2061,1202,7824,366,921,227,643,199,916,158,305,231,442
"SLC9B1",27,21,16,38,9,17,17,22,16,34,42,49,16,26,18,10,26,22,41,11
"SLC9B2",492,128,318,499,113,145,167,127,241,329,262,242,109,29,228,563,451,371,294,178
"BDH2",1034,863,1245,1913,1326,536,718,1743,936,1545,1207,1290,704,592,790,461,562,844,399,822
"PGRMC2",2986,2385,3538,4673,2535,1936,2507,5602,2503,3403,5916,6730,3557,2776,2483,3577,5054,3276,1489,1944
"CDC25A",122,19,49,42,13,9,25,35,131,49,431,633,115,59,361,903,771,128,155,67
"CAMP",85,48,130,91,108,29,105,327,61,560,16,211,3,0,24,3,20,23,0,3
"ZNF589",1056,497,943,1373,589,290,502,1817,715,290,700,1347,622,205,610,2061,1119,664,534,602
"FBXW12",2,2,0,8,9,4,1,28,0,0,9,3,9,1,6,36,34,0,18,4
"PLXNB1",3925,3177,5769,7275,3574,1401,2976,8976,3626,1799,11628,5307,908,2519,3734,26913,7360,3532,935,4536
"CCDC51",583,318,669,823,261,120,276,741,539,607,601,1189,221,708,594,1946,1275,466,54,406
"ATRIP",441,270,512,542,284,140,243,580,417,312,577,666,189,344,651,1728,737,378,168,351
"SHISA5",11931,5238,9576,13109,4309,2704,4892,10432,9152,9657,16295,11253,2769,3360,10744,16876,13692,9016,724,5913
"SPRY1",3059,1970,5154,5861,1460,811,2692,3153,1961,2964,8775,3233,739,1386,2714,3986,5950,1888,842,2609
"BSN",48,65,97,98,72,24,73,91,98,31,87,67,31,18,92,78,36,47,49,92
"APEH",5648,2515,4653,5262,2534,1047,2037,5440,4865,4382,5268,7043,1396,4200,3369,15389,7282,4130,421,3640
"INTU",251,370,433,747,558,267,322,1047,277,181,916,613,610,339,511,1319,510,556,1837,549
"RNF123",1937,1181,1755,1968,949,498,837,1731,1330,766,2075,1960,274,614,1101,5353,1828,853,324,1079
"HSPA4L",174,98,243,513,271,115,138,452,209,169,178,628,352,45,223,2206,158,491,945,687
"MFSD8",625,443,604,924,528,410,415,1017,531,585,1550,1880,764,590,811,1487,999,834,1212,596
"ABHD18",546,378,444,540,472,326,272,853,377,346,882,1239,551,322,432,1164,750,600,911,435
"CAMKV",0,1,0,2,0,1,1,3,1,1,1,0,3,4,4,1,1,0,5,0
"MON1A",728,291,585,686,251,120,254,578,551,727,342,611,85,509,423,886,559,304,29,287
"MST1R",1388,818,1394,1484,860,315,580,1964,866,400,3177,1621,658,607,2373,3696,3784,2887,515,1669
"RAD54L2",2313,1485,1505,2146,1192,749,1062,1915,1267,548,2641,2103,1060,527,1372,5564,2127,1468,1003,1206
"TEX264",3064,1469,2863,3434,1437,688,1257,3852,2862,3302,2598,3805,633,3168,2753,5174,3912,1870,155,2048
"GRM2",11,10,15,17,13,7,2,36,6,3,20,16,2,1,18,21,17,25,17,10
"DUSP7",5192,1013,2198,2630,787,946,1228,1709,1582,1530,2078,1346,395,461,747,2172,1598,2144,198,803
"POC1A",251,79,185,197,67,43,79,171,272,225,552,729,224,302,525,1644,1403,317,54,116
"PPM1M",3107,1397,2654,3469,994,548,1240,2370,2033,2761,1455,2484,697,864,1103,1541,599,1687,239,1371
"ETNPPL",0,0,0,4,1,0,1,0,3,0,1,0,0,21,0,1840,769,0,8,0
"WDR82",8328,4186,7384,9447,3675,3149,4051,6624,5459,5085,8171,8610,4272,2046,5444,12450,9514,4667,1702,5265
"PITX2",0,0,2,2,5,0,0,0,2,1,1206,164,46,1,5,8456,2159,76,7,0
"C4orf3",6481,5853,8528,11862,6244,4606,5209,11801,6338,10088,9364,9585,3716,2860,4787,5237,6646,5769,1972,5085
"PRSS12",140,263,458,1397,410,163,372,1258,298,303,137,844,161,156,111,403,192,64,95,662
"NDST3",3,4,14,36,3,0,2,18,3,2,26,5,6,1,0,1,3,5,106,0
"HMGB2",2209,1624,2008,2962,1646,851,1054,1955,4248,1981,5858,4604,3711,1330,4714,5617,6650,4208,1198,1814
"SAP30",521,124,191,323,161,75,121,239,156,360,363,451,188,69,328,241,489,487,315,147
"SCRG1",8,0,39,44,2,2,5,6,4,55,11,5,1,0,8,5,6,7,498,1
"HAND2",2,1,0,88,0,0,1,1,2,1,1,0,0,1,2,0,0,0,4,0
"MAD2L1",201,65,131,224,71,45,75,153,312,328,1004,1076,649,293,598,1241,3242,634,604,186
"ANXA5",38936,13210,25714,32429,12086,10435,13016,32171,15472,29203,17713,20760,8715,6760,16383,12431,25509,18230,5110,10420
"TMEM155",4,10,84,19,26,6,12,15,45,25,29,12,8,0,2,4,5,18,14,52
"ADAD1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0
"MAP9",411,660,551,750,656,441,540,1562,416,603,3065,1416,601,430,488,767,1015,716,1447,1116
"GUCY1A1",1169,3073,2789,4461,1773,1139,2064,3494,1764,2586,1305,3310,562,213,415,1095,644,1306,1912,1282
"FBXO8",890,907,1161,1672,845,610,793,1695,884,1529,1677,1385,594,673,424,1414,1215,625,314,876
"CEP44",485,449,600,873,523,323,398,919,440,647,1315,1109,702,794,321,2312,1009,633,1092,628
"HPGD",4396,3552,5027,7975,5661,7261,4781,5827,4014,21448,3663,3144,1165,988,66,4363,18394,4049,8147,4711
"ASB5",2,5,1,5,5,0,0,5,1,8,1,0,0,0,2,0,1,2,16,0
"C4orf45",2,1,0,3,2,1,7,1,1,0,5,1,1,2,1,1,0,4,208,1
"TMEM144",829,548,624,816,622,297,324,1078,565,631,1482,2503,802,679,677,2174,2590,812,1341,931
"GASK1B",2004,1120,4417,2824,1068,696,1025,1954,1597,2155,3602,3724,517,96,1464,2264,14220,1364,2454,2057
"NPY1R",30,66,316,322,57,47,116,46,114,166,15,47,139,9,1,16,20,6,18,34
"NPY5R",5,1,22,22,4,5,17,4,13,11,3,5,1,0,0,0,0,0,4,2
"NAA15",2987,1232,1388,1993,1231,1159,904,1763,1348,1606,3031,4121,1947,1245,1855,3652,3805,2728,2779,1571
"IL15",365,283,350,691,285,220,264,887,334,441,344,226,164,69,110,551,131,621,572,322
"FAM160A1",1501,860,1191,1563,899,412,849,2065,705,230,2631,3686,1548,313,1045,2701,1732,884,938,1306
"ARFIP1",1719,1698,1804,2612,1526,1056,1359,2781,1508,2362,3498,4271,1717,1266,1616,2710,3073,1786,1628,1966
"ICE1",2727,1705,2084,3015,1571,1133,1571,2499,1535,890,2651,5593,2522,1546,785,8023,2920,1909,1859,2503
"HHIP",908,7466,4276,3925,8402,1974,2578,4325,3716,2270,818,942,933,15,23,104,9,102,394,384
"ANAPC10",172,123,127,207,123,83,92,311,121,318,292,272,127,142,118,229,174,177,262,132
"ABCE1",3358,1195,1725,2380,1225,1083,990,2087,1529,2093,3190,4376,2138,1585,1922,4292,4898,2317,2762,1855
"OTUD4",4169,2630,2957,4363,2222,1978,2141,4663,1882,1657,3638,3731,1868,1054,1385,4312,2566,3014,3566,2008
"LSM6",709,488,542,1030,459,436,307,1054,757,1107,817,1065,410,332,453,562,850,487,233,395
"TMEM184C",1766,1328,1945,2357,1212,847,1068,2471,1297,1275,3349,3631,1064,637,1105,2462,2434,1195,1699,1550
"PRMT9",563,507,523,910,465,394,392,651,382,421,941,937,385,211,458,753,551,474,406,449
"ITGA2",3436,1043,2720,2148,941,1712,1291,2269,744,2687,13099,2823,5523,30,255,1790,4657,5539,7984,2942
"MOCS2",1329,951,1678,2448,1280,863,905,2493,1441,2560,2192,2064,1650,610,1245,1500,1065,1032,697,1469
"SLC45A2",0,2,2,4,8,1,0,6,2,1,16,65,0,0,7,3,4,1,12,9
"EDIL3",1821,4741,5320,4330,3531,2957,2662,2559,1820,5629,8744,2279,350,102,697,6977,486,835,1548,827
"TMEM161B",571,542,531,811,666,419,419,973,551,563,1003,1693,668,349,348,1599,610,872,1902,826
"ELOVL7",442,357,637,696,455,373,331,1304,382,387,360,1368,494,9,65,840,1297,367,1057,411
"NDUFAF2",493,304,406,660,361,192,259,622,332,724,467,670,424,362,511,1073,195,561,552,534
"ZNF474",14,24,26,193,58,3,36,272,70,22,61,8,10,5,45,31,11,51,11,257
"LMBRD2",1069,856,830,1404,905,711,809,1593,807,1046,841,3509,2073,1232,728,2027,1483,922,1965,1353
"RANBP3L",204,287,259,189,178,153,158,242,134,463,149,156,36,23,96,26,10,15,121,83
"NIPBL",3809,3655,3503,4635,3212,2180,2822,4571,2426,1249,4980,8897,4576,1860,4137,10017,5013,2595,5404,4534
"RNF180",281,551,530,568,464,314,426,722,280,780,364,596,72,125,48,413,509,98,427,654
"ADGRV1",958,1000,734,1095,1056,384,762,1525,491,179,658,1331,967,1063,782,19539,98,118,710,1168
"SLC25A46",2837,1847,2050,2952,1570,1158,1683,3569,1966,3399,2526,3544,1086,639,477,2597,1517,1624,2692,2453
"STARD4",1656,1600,884,1433,1544,1250,1045,2566,970,1611,584,2984,393,137,693,2353,1316,520,1786,424
"PGGT1B",1465,989,1097,1786,1111,801,902,1911,971,1015,1692,2031,752,359,837,3058,758,1019,2218,1517
"F2RL2",113,43,392,45,37,10,29,27,12,333,158,142,13,0,140,13,68,31,79,194
"CCDC112",347,347,378,541,290,203,279,716,231,241,661,728,163,241,353,885,343,321,334,384
"ANKRD33B",747,357,422,1223,484,166,399,1347,613,167,137,138,109,6,62,97,39,365,65,282
"CMBL",594,1309,1110,1701,964,329,463,1980,718,1124,1757,8116,1881,1899,2596,2083,33,1455,247,2332
"C5orf63",110,132,104,246,113,78,107,323,162,89,518,633,147,165,148,371,410,272,507,613
"PRRC1",3526,2656,3362,4280,2059,1342,2166,3893,2472,2426,6705,9979,2434,1079,5040,11595,8322,3119,3666,4394
"F2RL1",704,352,897,1109,343,161,309,1004,421,652,2223,3230,867,100,1130,1319,445,1081,98,1390
"AGGF1",637,549,718,947,505,304,476,1053,594,704,892,956,631,246,631,1462,620,607,604,874
"WDR41",1584,1134,1677,1751,1008,652,962,2679,1183,1699,1144,2106,730,433,1288,2125,872,936,1342,1907
"PRDM9",0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,6,0
"NDUFS4",1297,920,1336,2086,894,654,683,1988,981,1759,2640,1605,1003,1527,1014,1970,1435,974,289,1173
"SCGB3A2",47458,23093,8667,71992,6333,6689,5936,63251,10081,4430,12442,9779,10595,7998,96,20734,125,3151,42,181123
"SPINK1",202,10,76,25,24,0,128,51,23,70,82210,393,617,84,46,16990,751,113,611,563
"HTR4",3,1,2,5,4,1,5,0,0,25,3,7,0,0,1,1,1,1,18,0
"ESM1",333,1073,2666,428,523,272,184,193,159,1783,143,383,127,52,275,1636,1228,448,789,18
"GRPEL2",857,394,789,906,691,450,381,1042,557,753,783,1446,386,570,880,1104,1095,619,999,727
"CDC20B",2,3,15,49,22,0,5,60,11,3,194,15,26,1,139,142,2,13,13,451
"ARSK",235,275,369,476,350,168,243,543,238,412,338,770,191,109,175,997,141,292,311,312
"RHOBTB3",1809,2672,3714,3583,4798,1337,2013,3109,1506,1899,7765,5539,1491,848,4003,2831,3256,4843,9025,926
"GPX8",269,305,1339,1444,259,159,390,582,417,1460,4326,1469,418,84,2373,700,2361,1580,1043,873
"TIGD6",314,150,236,349,179,63,142,353,204,184,259,411,180,295,284,298,277,199,103,342
"SPZ1",0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,1,10,0
"SERINC5",4447,4002,4553,4979,3407,2155,2601,6303,2671,2511,2370,5559,2396,968,4888,5858,2346,2562,3278,5773
"ENPP6",66,33,44,92,13,12,35,59,54,58,18,39,7,1,7,5,4,9,12,22
"CAGE1",1,2,1,4,1,2,1,3,2,1,12,8,17,3,11,21,6,4,16,1
"CASP3",1460,606,1171,1714,650,484,427,1397,1187,1650,3453,3657,1162,810,3055,2165,3223,1699,988,1092
"PRIMPOL",181,234,317,510,268,175,198,396,246,396,471,547,232,255,190,402,605,249,285,298
"ERAP1",5523,4218,6305,7346,2207,1995,2163,5950,2381,3518,5038,3392,1456,367,1259,3273,1908,5807,3217,4880
"ERAP2",3557,257,289,10830,2716,2206,2600,5288,3167,3321,10992,346,3503,426,1118,3853,152,1012,2647,4014
"CMYA5",75,142,128,501,119,135,157,334,79,49,560,124,325,82,242,491,63,431,405,74
"EGFLAM",271,41,297,297,85,45,68,76,97,190,462,68,45,103,112,673,184,246,154,45
"CFAP97",2512,1626,1870,2538,1781,1345,1487,2482,1410,2052,3444,3175,1637,1153,828,3051,3224,2144,2094,1995
"TMEM174",0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,0
"CARTPT",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,2,6,0
"RICTOR",1172,1828,1628,2564,1799,1202,1378,3168,1253,850,2272,3968,2545,1630,2122,9854,2793,1513,4610,1554
"TENT2",2308,1480,1892,2580,1564,1096,1139,2562,1689,1686,2868,3730,1400,647,1870,4243,1559,2408,3552,2325
"EBF1",380,244,511,844,395,279,273,173,443,340,167,195,75,19,133,169,83,198,315,152
"ANKRA2",302,346,438,627,481,160,296,760,388,343,829,1360,631,207,1091,782,1097,743,541,803
"UBLCP1",1852,1205,1578,2049,1337,900,954,2730,1679,1964,1693,2255,1057,1572,1536,4403,2836,1837,1290,1672
"FAM170A",1,0,0,0,2,0,0,1,2,0,3,2,0,0,0,2,0,3,0,0
"UTP15",918,342,519,823,375,290,286,771,478,454,706,1120,450,186,1273,1535,880,740,821,761
"TLR3",819,1115,1071,2108,1147,666,925,1386,736,1215,1663,1152,809,226,153,240,222,1160,356,1029
"KLKB1",14,8,39,45,31,34,18,70,36,15,57,42,6,1,40,6,106,92,19,14
"NSA2",2700,2608,4070,4220,2582,1277,1465,3881,3897,3342,3452,3796,2236,1466,2423,6477,2606,3581,796,3715
"GFM2",664,539,695,1023,616,289,425,1021,670,643,920,1676,466,268,510,3841,839,626,776,813
"TERT",0,0,0,1,0,0,0,0,19,0,30,40,5,33,15,403,92,2,117,5
"SLC6A18",0,0,0,6,0,0,0,0,0,4,0,0,0,9,1,1,0,0,4,0
"CCDC127",1154,720,1204,1549,642,364,652,1571,963,935,1527,2886,1116,1346,394,1830,1589,698,1136,1482
"FOXQ1",664,1180,480,1025,549,195,622,931,518,148,1191,134,483,127,142,870,1367,2884,14,2244
"LINC01600",0,3,4,0,0,0,1,1,3,1,17,4,2,3,9,4,13,1,4,0
"ADGRF2",1,2,2,16,9,0,2,28,3,0,14,299,1,0,0,8498,13,1,21,14
"ACSL6",28,27,51,50,25,16,24,47,59,36,32,53,51,5,20,46,17,122,49,68
"IL3",0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"CSF2",22,37,70,88,13,19,37,118,113,27,26,29,4,10,4,25,18,335,4,120
"SEPTIN8",2416,1644,3254,3183,1500,905,1212,2384,1693,2504,3259,2990,994,212,2877,4041,3618,1944,928,2285
"SHROOM1",752,536,712,736,456,333,330,714,649,516,1067,718,169,136,1472,815,2287,1979,456,405
"GDF9",4,18,13,23,24,6,12,29,19,4,38,57,13,26,110,66,46,18,31,43
"UQCRQ",2035,994,1685,2397,955,393,767,2607,1796,4008,3895,2391,678,1151,3641,3489,5777,1839,359,1923
"LEAP2",7,6,19,34,28,11,11,38,33,19,22,44,18,4,58,29,53,26,73,31
"GJB7",2,7,16,120,27,0,7,140,7,3,734,8,0,143,5,556,234,1,80,20
"SLC35A1",663,640,774,941,660,439,500,1440,667,1105,478,1256,310,434,1164,457,889,372,243,419
"GRIK2",2,8,5,84,9,6,8,25,7,4,119,136,35,9,21,116,160,49,103,2
"CGAS",705,304,432,448,174,306,180,555,443,385,719,939,427,44,692,1222,641,635,671,368
"FABP7",1,0,1,0,2,3,1,1,0,4,0,8,12,10,15,4,0,7,15,2
"TLX3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,4,0,0,0
"TXLNB",64,78,118,286,80,56,78,186,105,38,92,91,29,3,631,29,148,102,95,81
"CITED2",17940,16354,10685,10330,11061,2628,5360,10919,14779,10452,17170,11615,4490,9328,1357,9558,3476,3513,1897,2496
"CALHM4",0,0,3,11,0,0,0,1,0,0,0,0,0,0,0,0,4,1,6,0
"TBXT",0,0,0,3,0,0,0,0,5,0,9,0,14,82,0,4,0,37,42,12
"CREBRF",1563,2365,2266,2873,2330,1058,1986,3007,1597,1813,1625,1933,1292,1020,622,1987,1307,1408,2281,2115
"DCBLD1",889,880,1407,931,715,328,478,1296,812,933,1992,1576,696,262,794,1334,1008,2455,965,1208
"SFXN1",1177,529,939,1127,589,287,401,1164,1083,689,2331,2257,2754,1161,2455,4102,3835,1811,1840,1498
"SAMD3",22,71,95,199,36,34,69,54,92,51,119,141,28,5,23,43,21,81,96,47
"TMEM200A",396,335,680,987,144,265,370,557,245,1101,411,1364,143,15,223,244,107,405,578,501
"IL22RA2",0,1,6,5,0,0,0,0,33,0,7,4,35,1,13,2,36,100,22,291
"DACT2",71,331,698,625,212,27,345,647,532,59,1027,595,7,136,8,1442,129,7,10,1330
"PDSS2",1270,715,893,1307,682,415,563,1515,854,1029,1173,2625,745,425,1049,2193,1065,713,398,1053
"SPATA48",0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0
"STXBP5",1067,788,1054,1460,678,680,729,1265,696,738,716,1717,588,172,612,593,1949,742,2877,767
"H2AC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL31RA",14,9,19,1,3,4,8,14,5,7,251,4,183,481,4,108,12,200,79,16
"ANKRD55",14,11,28,20,5,9,3,7,54,12,43,9,7,4,21,7,5,57,21,74
"RAET1E",3,1,26,230,16,2,8,21,26,16,83,6,7,3,11,20,78,25,14,9
"PI16",358,48,733,2878,179,142,392,209,219,437,18,125,0,5,71,5,2,40,3,84
"TBX20",1,1,3,3,0,0,0,2,2,0,48,0,0,0,0,0,0,0,1,2
"DAGLB",2261,851,1666,1805,838,437,725,2205,1209,931,2919,2067,391,959,1808,3709,2157,1320,538,829
"KIAA0895",521,302,306,517,381,245,228,773,206,235,730,1429,596,307,705,1897,817,780,426,892
"STK17A",4526,1514,2046,2107,1645,2208,1546,3830,2472,3622,2819,1730,2440,874,2148,4411,2264,3225,1546,3704
"TRA2A",2883,2501,2324,3391,2757,2086,1723,5777,2403,2566,4046,9361,2612,4728,4310,11689,4784,4200,1969,3860
"FAM183BP",11,9,4,5,16,2,3,31,2,0,6,89,4,10,12,3,6,6,9,10
"GALNT10",5457,3634,5756,5892,3561,1282,2683,5255,4034,2638,8932,8373,3217,1023,3548,7043,7430,6423,2524,9884
"SAP30L",1915,1924,2857,3661,1715,874,1771,3341,1780,1545,2185,2418,845,622,1133,2120,1819,1119,490,2479
"RPS14",25527,14005,29515,41041,15786,9345,12632,36734,33387,50954,23953,32300,14003,58619,24161,33804,31414,23798,1177,27450
"HCN1",3,5,4,90,2,2,0,4,6,3,36,1,679,2,10,0,28,3,33,9
"MYOZ3",25,68,132,146,73,32,113,217,39,92,33,76,36,3,25,41,13,13,19,119
"COG5",1645,1150,1428,1972,1041,409,992,1574,1087,1180,1791,4391,901,871,1686,5944,3761,1237,2301,1615
"NEUROD6",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1
"BMT2",487,439,612,831,439,256,393,909,484,819,981,2196,331,432,290,1006,489,548,776,677
"GPR85",337,103,201,159,66,58,81,247,168,170,43,184,36,0,28,21,56,63,95,115
"SLU7",2504,2327,2786,3744,2313,1458,1724,4220,2441,2000,3353,3573,2340,2065,1656,4553,2779,1799,864,2718
"RP9",327,139,280,350,167,117,158,566,279,206,544,464,248,240,643,539,939,364,87,507
"PTTG1",297,111,246,258,109,100,56,194,567,249,929,813,1436,358,1598,1552,2032,953,232,216
"CAMLG",1657,1039,1960,2875,1087,716,973,2823,1497,2313,1490,2215,811,998,1570,1284,2117,1506,617,1475
"FBXL21P",0,0,0,3,0,0,0,0,0,0,87,15,0,2,0,0,0,0,18,0
"BMPER",386,449,539,1170,368,364,700,465,177,897,75,83,463,14,12,104,8,29,48,65
"RELL2",73,24,44,59,22,17,18,44,57,55,61,116,21,10,170,57,248,100,25,34
"SMAD5-AS1",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,61,0
"KCNK5",2420,879,1393,1996,485,260,478,1921,1873,637,5912,6342,1052,748,1413,7465,348,2876,387,3567
"KIF6",51,61,141,310,138,50,72,349,111,81,139,36,20,135,54,274,2,56,21,211
"ZNF12",1162,793,1145,1628,740,567,718,1463,884,853,1560,2870,1237,849,1977,2846,5051,1519,1058,1266
"SLC29A4",340,104,121,258,64,22,42,283,125,109,1970,12520,114,138,2408,9331,1025,572,8,142
"TEX47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"STEAP1",265,33,216,525,38,58,100,109,121,438,266,1132,201,16,1535,326,1149,910,1232,783
"CDCA7L",845,830,883,1338,646,385,752,1273,971,404,3479,2792,775,537,1043,3243,43,658,628,3133
"SP8",0,0,1,0,0,0,0,1,5,0,228,293,65,0,17,64,1257,0,14,11
"MIOS",1510,907,1048,1494,811,666,620,1729,1146,999,1276,2454,944,992,1144,3400,4411,985,878,2044
"ELAPOR2",4145,4008,2390,3396,5510,1848,2470,3412,3515,2213,2459,3335,705,238,624,5217,706,532,320,586
"USP49",206,200,289,444,301,150,215,428,282,134,1564,991,586,318,264,1912,292,445,658,330
"INTS4P1",4,1,5,9,10,7,7,19,6,4,87,72,0,37,76,40,42,9,45,20
"SYTL3",1861,399,517,1069,426,300,306,1001,589,256,990,1324,924,815,813,1291,498,1408,341,818
"IQUB",16,20,36,107,71,25,26,203,27,23,49,53,20,18,30,96,8,45,100,113
"HEY1",414,753,1039,2906,977,544,1533,630,491,1982,282,1011,489,140,236,3647,489,309,194,193
"ZNF704",1654,3022,3457,4791,2986,1521,2570,4233,1331,1234,3310,5337,1025,610,3157,4858,3393,601,1096,2836
"FABP5",1703,982,529,2098,980,341,491,2121,652,1170,318,929,125,124,157,1061,134,163,83,103
"SHH",520,363,721,547,311,150,241,1476,292,247,402,191,175,678,141,1321,42,151,11,1111
"TAGAP",916,718,970,1196,373,264,366,1265,1894,621,671,979,215,44,266,354,396,888,307,759
"COL1A2",41390,24181,89510,76740,9818,7991,21658,17759,24653,57304,111636,55040,8251,796,110100,104093,49835,87175,55637,20407
"FNDC1",430,90,1119,888,110,37,475,415,206,191,1823,449,89,2031,1164,963,173,877,1102,559
"CHMP4C",486,372,459,625,398,195,368,940,329,376,999,1397,677,517,1278,755,3415,560,119,487
"SLC13A4",23,15,53,82,47,22,18,144,40,17,35,125,76,41,109,27,135,94,172,53
